tilt : 682, real_tilt ; 59, pan : 682, real_pan : 1
tilt : 714, real_tilt ; 705, pan : 682, real_pan : 1353
tilt : 714, real_tilt ; 712, pan : 698, real_pan : 1283
tilt : 714, real_tilt ; 713, pan : 714, real_pan : 1149
tilt : 714, real_tilt ; 713, pan : 730, real_pan : 1014
tilt : 714, real_tilt ; 713, pan : 746, real_pan : 883
tilt : 714, real_tilt ; 713, pan : 762, real_pan : 781
tilt : 714, real_tilt ; 713, pan : 778, real_pan : 762
tilt : 714, real_tilt ; 713, pan : 794, real_pan : 773
tilt : 714, real_tilt ; 713, pan : 810, real_pan : 787
tilt : 714, real_tilt ; 713, pan : 826, real_pan : 800
tilt : 714, real_tilt ; 713, pan : 842, real_pan : 818
tilt : 714, real_tilt ; 713, pan : 858, real_pan : 834
tilt : 714, real_tilt ; 713, pan : 874, real_pan : 848
tilt : 714, real_tilt ; 713, pan : 890, real_pan : 866
tilt : 714, real_tilt ; 713, pan : 906, real_pan : 882
tilt : 714, real_tilt ; 713, pan : 922, real_pan : 896
tilt : 714, real_tilt ; 713, pan : 938, real_pan : 914
tilt : 714, real_tilt ; 713, pan : 954, real_pan : 928
tilt : 714, real_tilt ; 713, pan : 970, real_pan : 946
tilt : 714, real_tilt ; 713, pan : 986, real_pan : 960
tilt : 714, real_tilt ; 713, pan : 1002, real_pan : 978
tilt : 714, real_tilt ; 713, pan : 1018, real_pan : 992
tilt : 714, real_tilt ; 713, pan : 1034, real_pan : 1010
tilt : 714, real_tilt ; 713, pan : 1050, real_pan : 1025
tilt : 714, real_tilt ; 713, pan : 1066, real_pan : 1041
tilt : 714, real_tilt ; 713, pan : 1082, real_pan : 1057
tilt : 714, real_tilt ; 713, pan : 1098, real_pan : 1073
tilt : 714, real_tilt ; 713, pan : 1114, real_pan : 1089
tilt : 714, real_tilt ; 713, pan : 1130, real_pan : 1105
tilt : 714, real_tilt ; 713, pan : 1146, real_pan : 1121
tilt : 714, real_tilt ; 713, pan : 1162, real_pan : 1137
tilt : 714, real_tilt ; 713, pan : 1178, real_pan : 1152
tilt : 714, real_tilt ; 713, pan : 1194, real_pan : 1169
tilt : 714, real_tilt ; 713, pan : 1210, real_pan : 1184
tilt : 714, real_tilt ; 713, pan : 1226, real_pan : 1201
tilt : 714, real_tilt ; 713, pan : 1242, real_pan : 1216
tilt : 714, real_tilt ; 713, pan : 1258, real_pan : 1233
tilt : 714, real_tilt ; 713, pan : 1274, real_pan : 1248
tilt : 714, real_tilt ; 713, pan : 1290, real_pan : 1264
tilt : 714, real_tilt ; 713, pan : 1306, real_pan : 1280
tilt : 714, real_tilt ; 713, pan : 1322, real_pan : 1296
tilt : 714, real_tilt ; 713, pan : 1338, real_pan : 1312
tilt : 714, real_tilt ; 713, pan : 1354, real_pan : 1329
tilt : 730, real_tilt ; 721, pan : 682, real_pan : 1353
tilt : 730, real_tilt ; 728, pan : 698, real_pan : 1286
tilt : 730, real_tilt ; 728, pan : 714, real_pan : 1152
tilt : 730, real_tilt ; 729, pan : 730, real_pan : 1017
tilt : 730, real_tilt ; 729, pan : 746, real_pan : 886
tilt : 730, real_tilt ; 729, pan : 762, real_pan : 782
tilt : 730, real_tilt ; 729, pan : 778, real_pan : 762
tilt : 730, real_tilt ; 729, pan : 794, real_pan : 773
tilt : 730, real_tilt ; 729, pan : 810, real_pan : 787
tilt : 730, real_tilt ; 729, pan : 826, real_pan : 799
tilt : 730, real_tilt ; 729, pan : 842, real_pan : 818
tilt : 730, real_tilt ; 729, pan : 858, real_pan : 834
tilt : 730, real_tilt ; 729, pan : 874, real_pan : 847
tilt : 730, real_tilt ; 729, pan : 890, real_pan : 866
tilt : 730, real_tilt ; 729, pan : 906, real_pan : 881
tilt : 730, real_tilt ; 729, pan : 922, real_pan : 895
tilt : 730, real_tilt ; 729, pan : 938, real_pan : 914
tilt : 730, real_tilt ; 729, pan : 954, real_pan : 928
tilt : 730, real_tilt ; 729, pan : 970, real_pan : 945
tilt : 730, real_tilt ; 729, pan : 986, real_pan : 960
tilt : 730, real_tilt ; 729, pan : 1002, real_pan : 977
tilt : 730, real_tilt ; 729, pan : 1018, real_pan : 992
tilt : 730, real_tilt ; 729, pan : 1034, real_pan : 1009
tilt : 730, real_tilt ; 729, pan : 1050, real_pan : 1024
tilt : 730, real_tilt ; 729, pan : 1066, real_pan : 1041
tilt : 730, real_tilt ; 729, pan : 1082, real_pan : 1057
tilt : 730, real_tilt ; 729, pan : 1098, real_pan : 1072
tilt : 730, real_tilt ; 729, pan : 1114, real_pan : 1089
tilt : 730, real_tilt ; 729, pan : 1130, real_pan : 1105
tilt : 730, real_tilt ; 729, pan : 1146, real_pan : 1120
tilt : 730, real_tilt ; 729, pan : 1162, real_pan : 1137
tilt : 730, real_tilt ; 729, pan : 1178, real_pan : 1153
tilt : 730, real_tilt ; 729, pan : 1194, real_pan : 1169
tilt : 730, real_tilt ; 729, pan : 1210, real_pan : 1184
tilt : 730, real_tilt ; 729, pan : 1226, real_pan : 1201
tilt : 730, real_tilt ; 729, pan : 1242, real_pan : 1216
tilt : 730, real_tilt ; 729, pan : 1258, real_pan : 1232
tilt : 730, real_tilt ; 729, pan : 1274, real_pan : 1248
tilt : 730, real_tilt ; 729, pan : 1290, real_pan : 1265
tilt : 730, real_tilt ; 729, pan : 1306, real_pan : 1281
tilt : 730, real_tilt ; 728, pan : 1322, real_pan : 1296
tilt : 730, real_tilt ; 729, pan : 1338, real_pan : 1312
tilt : 730, real_tilt ; 729, pan : 1354, real_pan : 1328
tilt : 746, real_tilt ; 737, pan : 682, real_pan : 1353
tilt : 746, real_tilt ; 743, pan : 698, real_pan : 1286
tilt : 746, real_tilt ; 745, pan : 714, real_pan : 1152
tilt : 746, real_tilt ; 745, pan : 730, real_pan : 1017
tilt : 746, real_tilt ; 745, pan : 746, real_pan : 885
tilt : 746, real_tilt ; 745, pan : 762, real_pan : 782
tilt : 746, real_tilt ; 744, pan : 778, real_pan : 762
tilt : 746, real_tilt ; 745, pan : 794, real_pan : 773
tilt : 746, real_tilt ; 745, pan : 810, real_pan : 787
tilt : 746, real_tilt ; 745, pan : 826, real_pan : 799
tilt : 746, real_tilt ; 745, pan : 842, real_pan : 818
tilt : 746, real_tilt ; 745, pan : 858, real_pan : 834
tilt : 746, real_tilt ; 745, pan : 874, real_pan : 847
tilt : 746, real_tilt ; 745, pan : 890, real_pan : 866
tilt : 746, real_tilt ; 745, pan : 906, real_pan : 882
tilt : 746, real_tilt ; 745, pan : 922, real_pan : 895
tilt : 746, real_tilt ; 745, pan : 938, real_pan : 914
tilt : 746, real_tilt ; 745, pan : 954, real_pan : 928
tilt : 746, real_tilt ; 745, pan : 970, real_pan : 945
tilt : 746, real_tilt ; 745, pan : 986, real_pan : 960
tilt : 746, real_tilt ; 745, pan : 1002, real_pan : 977
tilt : 746, real_tilt ; 745, pan : 1018, real_pan : 992
tilt : 746, real_tilt ; 745, pan : 1034, real_pan : 1010
tilt : 746, real_tilt ; 745, pan : 1050, real_pan : 1025
tilt : 746, real_tilt ; 745, pan : 1066, real_pan : 1041
tilt : 746, real_tilt ; 745, pan : 1082, real_pan : 1057
tilt : 746, real_tilt ; 745, pan : 1098, real_pan : 1073
tilt : 746, real_tilt ; 744, pan : 1114, real_pan : 1089
tilt : 746, real_tilt ; 745, pan : 1130, real_pan : 1105
tilt : 746, real_tilt ; 745, pan : 1146, real_pan : 1121
tilt : 746, real_tilt ; 745, pan : 1162, real_pan : 1137
tilt : 746, real_tilt ; 744, pan : 1178, real_pan : 1153
tilt : 746, real_tilt ; 745, pan : 1194, real_pan : 1169
tilt : 746, real_tilt ; 744, pan : 1210, real_pan : 1184
tilt : 746, real_tilt ; 745, pan : 1226, real_pan : 1201
tilt : 746, real_tilt ; 745, pan : 1242, real_pan : 1217
tilt : 746, real_tilt ; 745, pan : 1258, real_pan : 1232
tilt : 746, real_tilt ; 745, pan : 1274, real_pan : 1249
tilt : 746, real_tilt ; 745, pan : 1290, real_pan : 1265
tilt : 746, real_tilt ; 745, pan : 1306, real_pan : 1281
tilt : 746, real_tilt ; 745, pan : 1322, real_pan : 1296
tilt : 746, real_tilt ; 745, pan : 1338, real_pan : 1313
tilt : 746, real_tilt ; 745, pan : 1354, real_pan : 1329
tilt : 762, real_tilt ; 754, pan : 682, real_pan : 1353
tilt : 762, real_tilt ; 760, pan : 698, real_pan : 1283
tilt : 762, real_tilt ; 761, pan : 714, real_pan : 1149
tilt : 762, real_tilt ; 761, pan : 730, real_pan : 1015
tilt : 762, real_tilt ; 761, pan : 746, real_pan : 883
tilt : 762, real_tilt ; 760, pan : 762, real_pan : 781
tilt : 762, real_tilt ; 761, pan : 778, real_pan : 762
tilt : 762, real_tilt ; 761, pan : 794, real_pan : 773
tilt : 762, real_tilt ; 761, pan : 810, real_pan : 787
tilt : 762, real_tilt ; 761, pan : 826, real_pan : 799
tilt : 762, real_tilt ; 761, pan : 842, real_pan : 818
tilt : 762, real_tilt ; 761, pan : 858, real_pan : 834
tilt : 762, real_tilt ; 761, pan : 874, real_pan : 847
tilt : 762, real_tilt ; 761, pan : 890, real_pan : 866
tilt : 762, real_tilt ; 761, pan : 906, real_pan : 882
tilt : 762, real_tilt ; 761, pan : 922, real_pan : 896
tilt : 762, real_tilt ; 761, pan : 938, real_pan : 914
tilt : 762, real_tilt ; 761, pan : 954, real_pan : 929
tilt : 762, real_tilt ; 760, pan : 970, real_pan : 946
tilt : 762, real_tilt ; 761, pan : 986, real_pan : 961
tilt : 762, real_tilt ; 761, pan : 1002, real_pan : 977
tilt : 762, real_tilt ; 761, pan : 1018, real_pan : 993
tilt : 762, real_tilt ; 761, pan : 1034, real_pan : 1010
tilt : 762, real_tilt ; 761, pan : 1050, real_pan : 1025
tilt : 762, real_tilt ; 761, pan : 1066, real_pan : 1041
tilt : 762, real_tilt ; 761, pan : 1082, real_pan : 1057
tilt : 762, real_tilt ; 761, pan : 1098, real_pan : 1072
tilt : 762, real_tilt ; 761, pan : 1114, real_pan : 1089
tilt : 762, real_tilt ; 761, pan : 1130, real_pan : 1105
tilt : 762, real_tilt ; 761, pan : 1146, real_pan : 1121
tilt : 762, real_tilt ; 761, pan : 1162, real_pan : 1137
tilt : 762, real_tilt ; 761, pan : 1178, real_pan : 1153
tilt : 762, real_tilt ; 761, pan : 1194, real_pan : 1169
tilt : 762, real_tilt ; 761, pan : 1210, real_pan : 1184
tilt : 762, real_tilt ; 761, pan : 1226, real_pan : 1201
tilt : 762, real_tilt ; 761, pan : 1242, real_pan : 1217
tilt : 762, real_tilt ; 761, pan : 1258, real_pan : 1233
tilt : 762, real_tilt ; 761, pan : 1274, real_pan : 1248
tilt : 762, real_tilt ; 761, pan : 1290, real_pan : 1265
tilt : 762, real_tilt ; 761, pan : 1306, real_pan : 1281
tilt : 762, real_tilt ; 761, pan : 1322, real_pan : 1297
tilt : 762, real_tilt ; 761, pan : 1338, real_pan : 1312
tilt : 762, real_tilt ; 761, pan : 1354, real_pan : 1329
tilt : 778, real_tilt ; 769, pan : 682, real_pan : 1353
tilt : 778, real_tilt ; 776, pan : 698, real_pan : 1286
tilt : 778, real_tilt ; 777, pan : 714, real_pan : 1152
tilt : 778, real_tilt ; 777, pan : 730, real_pan : 1014
tilt : 778, real_tilt ; 777, pan : 746, real_pan : 886
tilt : 778, real_tilt ; 777, pan : 762, real_pan : 782
tilt : 778, real_tilt ; 777, pan : 778, real_pan : 762
tilt : 778, real_tilt ; 777, pan : 794, real_pan : 773
tilt : 778, real_tilt ; 777, pan : 810, real_pan : 787
tilt : 778, real_tilt ; 777, pan : 826, real_pan : 799
tilt : 778, real_tilt ; 777, pan : 842, real_pan : 818
tilt : 778, real_tilt ; 777, pan : 858, real_pan : 834
tilt : 778, real_tilt ; 777, pan : 874, real_pan : 847
tilt : 778, real_tilt ; 777, pan : 890, real_pan : 865
tilt : 778, real_tilt ; 777, pan : 906, real_pan : 881
tilt : 778, real_tilt ; 777, pan : 922, real_pan : 895
tilt : 778, real_tilt ; 777, pan : 938, real_pan : 914
tilt : 778, real_tilt ; 777, pan : 954, real_pan : 928
tilt : 778, real_tilt ; 777, pan : 970, real_pan : 946
tilt : 778, real_tilt ; 777, pan : 986, real_pan : 961
tilt : 778, real_tilt ; 777, pan : 1002, real_pan : 977
tilt : 778, real_tilt ; 777, pan : 1018, real_pan : 992
tilt : 778, real_tilt ; 777, pan : 1034, real_pan : 1009
tilt : 778, real_tilt ; 777, pan : 1050, real_pan : 1025
tilt : 778, real_tilt ; 777, pan : 1066, real_pan : 1041
tilt : 778, real_tilt ; 777, pan : 1082, real_pan : 1057
tilt : 778, real_tilt ; 777, pan : 1098, real_pan : 1072
tilt : 778, real_tilt ; 777, pan : 1114, real_pan : 1089
tilt : 778, real_tilt ; 777, pan : 1130, real_pan : 1105
tilt : 778, real_tilt ; 777, pan : 1146, real_pan : 1121
tilt : 778, real_tilt ; 777, pan : 1162, real_pan : 1136
tilt : 778, real_tilt ; 777, pan : 1178, real_pan : 1153
tilt : 778, real_tilt ; 777, pan : 1194, real_pan : 1168
tilt : 778, real_tilt ; 777, pan : 1210, real_pan : 1184
tilt : 778, real_tilt ; 777, pan : 1226, real_pan : 1201
tilt : 778, real_tilt ; 777, pan : 1242, real_pan : 1217
tilt : 778, real_tilt ; 777, pan : 1258, real_pan : 1233
tilt : 778, real_tilt ; 777, pan : 1274, real_pan : 1248
tilt : 778, real_tilt ; 777, pan : 1290, real_pan : 1264
tilt : 778, real_tilt ; 777, pan : 1306, real_pan : 1281
tilt : 778, real_tilt ; 777, pan : 1322, real_pan : 1297
tilt : 778, real_tilt ; 777, pan : 1338, real_pan : 1312
tilt : 778, real_tilt ; 777, pan : 1354, real_pan : 1328
tilt : 794, real_tilt ; 785, pan : 682, real_pan : 1353
tilt : 794, real_tilt ; 792, pan : 698, real_pan : 1286
tilt : 794, real_tilt ; 793, pan : 714, real_pan : 1153
tilt : 794, real_tilt ; 793, pan : 730, real_pan : 1017
tilt : 794, real_tilt ; 793, pan : 746, real_pan : 886
tilt : 794, real_tilt ; 793, pan : 762, real_pan : 782
tilt : 794, real_tilt ; 793, pan : 778, real_pan : 763
tilt : 794, real_tilt ; 793, pan : 794, real_pan : 772
tilt : 794, real_tilt ; 793, pan : 810, real_pan : 787
tilt : 794, real_tilt ; 793, pan : 826, real_pan : 799
tilt : 794, real_tilt ; 793, pan : 842, real_pan : 818
tilt : 794, real_tilt ; 793, pan : 858, real_pan : 834
tilt : 794, real_tilt ; 793, pan : 874, real_pan : 847
tilt : 794, real_tilt ; 793, pan : 890, real_pan : 865
tilt : 794, real_tilt ; 793, pan : 906, real_pan : 881
tilt : 794, real_tilt ; 793, pan : 922, real_pan : 895
tilt : 794, real_tilt ; 793, pan : 938, real_pan : 914
tilt : 794, real_tilt ; 793, pan : 954, real_pan : 928
tilt : 794, real_tilt ; 793, pan : 970, real_pan : 945
tilt : 794, real_tilt ; 793, pan : 986, real_pan : 960
tilt : 794, real_tilt ; 793, pan : 1002, real_pan : 978
tilt : 794, real_tilt ; 793, pan : 1018, real_pan : 992
tilt : 794, real_tilt ; 793, pan : 1034, real_pan : 1009
tilt : 794, real_tilt ; 793, pan : 1050, real_pan : 1025
tilt : 794, real_tilt ; 793, pan : 1066, real_pan : 1041
tilt : 794, real_tilt ; 793, pan : 1082, real_pan : 1056
tilt : 794, real_tilt ; 793, pan : 1098, real_pan : 1073
tilt : 794, real_tilt ; 793, pan : 1114, real_pan : 1089
tilt : 794, real_tilt ; 793, pan : 1130, real_pan : 1105
tilt : 794, real_tilt ; 793, pan : 1146, real_pan : 1120
tilt : 794, real_tilt ; 793, pan : 1162, real_pan : 1137
tilt : 794, real_tilt ; 793, pan : 1178, real_pan : 1153
tilt : 794, real_tilt ; 793, pan : 1194, real_pan : 1169
tilt : 794, real_tilt ; 793, pan : 1210, real_pan : 1184
tilt : 794, real_tilt ; 793, pan : 1226, real_pan : 1201
tilt : 794, real_tilt ; 793, pan : 1242, real_pan : 1217
tilt : 794, real_tilt ; 793, pan : 1258, real_pan : 1232
tilt : 794, real_tilt ; 793, pan : 1274, real_pan : 1249
tilt : 794, real_tilt ; 793, pan : 1290, real_pan : 1265
tilt : 794, real_tilt ; 793, pan : 1306, real_pan : 1281
tilt : 794, real_tilt ; 793, pan : 1322, real_pan : 1297
tilt : 794, real_tilt ; 793, pan : 1338, real_pan : 1313
tilt : 794, real_tilt ; 793, pan : 1354, real_pan : 1328
tilt : 810, real_tilt ; 802, pan : 682, real_pan : 1353
tilt : 810, real_tilt ; 808, pan : 698, real_pan : 1283
tilt : 810, real_tilt ; 809, pan : 714, real_pan : 1150
tilt : 810, real_tilt ; 809, pan : 730, real_pan : 1014
tilt : 810, real_tilt ; 809, pan : 746, real_pan : 883
tilt : 810, real_tilt ; 809, pan : 762, real_pan : 781
tilt : 810, real_tilt ; 809, pan : 778, real_pan : 762
tilt : 810, real_tilt ; 809, pan : 794, real_pan : 773
tilt : 810, real_tilt ; 808, pan : 810, real_pan : 787
tilt : 810, real_tilt ; 809, pan : 826, real_pan : 799
tilt : 810, real_tilt ; 809, pan : 842, real_pan : 818
tilt : 810, real_tilt ; 809, pan : 858, real_pan : 834
tilt : 810, real_tilt ; 809, pan : 874, real_pan : 849
tilt : 810, real_tilt ; 809, pan : 890, real_pan : 864
tilt : 810, real_tilt ; 809, pan : 906, real_pan : 880
tilt : 810, real_tilt ; 809, pan : 922, real_pan : 897
tilt : 810, real_tilt ; 809, pan : 938, real_pan : 913
tilt : 810, real_tilt ; 809, pan : 954, real_pan : 929
tilt : 810, real_tilt ; 809, pan : 970, real_pan : 945
tilt : 810, real_tilt ; 809, pan : 986, real_pan : 962
tilt : 810, real_tilt ; 809, pan : 1002, real_pan : 977
tilt : 810, real_tilt ; 808, pan : 1018, real_pan : 993
tilt : 810, real_tilt ; 809, pan : 1034, real_pan : 1009
tilt : 810, real_tilt ; 809, pan : 1050, real_pan : 1026
tilt : 810, real_tilt ; 808, pan : 1066, real_pan : 1041
tilt : 810, real_tilt ; 809, pan : 1082, real_pan : 1057
tilt : 810, real_tilt ; 809, pan : 1098, real_pan : 1073
tilt : 810, real_tilt ; 809, pan : 1114, real_pan : 1089
tilt : 810, real_tilt ; 809, pan : 1130, real_pan : 1105
tilt : 810, real_tilt ; 809, pan : 1146, real_pan : 1121
tilt : 810, real_tilt ; 809, pan : 1162, real_pan : 1137
tilt : 810, real_tilt ; 809, pan : 1178, real_pan : 1153
tilt : 810, real_tilt ; 809, pan : 1194, real_pan : 1169
tilt : 810, real_tilt ; 809, pan : 1210, real_pan : 1184
tilt : 810, real_tilt ; 809, pan : 1226, real_pan : 1201
tilt : 810, real_tilt ; 809, pan : 1242, real_pan : 1217
tilt : 810, real_tilt ; 809, pan : 1258, real_pan : 1233
tilt : 810, real_tilt ; 809, pan : 1274, real_pan : 1249
tilt : 810, real_tilt ; 809, pan : 1290, real_pan : 1265
tilt : 810, real_tilt ; 809, pan : 1306, real_pan : 1281
tilt : 810, real_tilt ; 809, pan : 1322, real_pan : 1297
tilt : 810, real_tilt ; 809, pan : 1338, real_pan : 1313
tilt : 810, real_tilt ; 809, pan : 1354, real_pan : 1329
tilt : 826, real_tilt ; 817, pan : 682, real_pan : 1353
tilt : 826, real_tilt ; 824, pan : 698, real_pan : 1283
tilt : 826, real_tilt ; 824, pan : 714, real_pan : 1150
tilt : 826, real_tilt ; 824, pan : 730, real_pan : 1014
tilt : 826, real_tilt ; 825, pan : 746, real_pan : 883
tilt : 826, real_tilt ; 825, pan : 762, real_pan : 781
tilt : 826, real_tilt ; 825, pan : 778, real_pan : 762
tilt : 826, real_tilt ; 825, pan : 794, real_pan : 773
tilt : 826, real_tilt ; 824, pan : 810, real_pan : 787
tilt : 826, real_tilt ; 825, pan : 826, real_pan : 800
tilt : 826, real_tilt ; 825, pan : 842, real_pan : 819
tilt : 826, real_tilt ; 825, pan : 858, real_pan : 834
tilt : 826, real_tilt ; 825, pan : 874, real_pan : 848
tilt : 826, real_tilt ; 825, pan : 890, real_pan : 865
tilt : 826, real_tilt ; 825, pan : 906, real_pan : 881
tilt : 826, real_tilt ; 825, pan : 922, real_pan : 895
tilt : 826, real_tilt ; 825, pan : 938, real_pan : 914
tilt : 826, real_tilt ; 825, pan : 954, real_pan : 929
tilt : 826, real_tilt ; 825, pan : 970, real_pan : 944
tilt : 826, real_tilt ; 825, pan : 986, real_pan : 961
tilt : 826, real_tilt ; 825, pan : 1002, real_pan : 976
tilt : 826, real_tilt ; 825, pan : 1018, real_pan : 993
tilt : 826, real_tilt ; 825, pan : 1034, real_pan : 1009
tilt : 826, real_tilt ; 825, pan : 1050, real_pan : 1025
tilt : 826, real_tilt ; 825, pan : 1066, real_pan : 1041
tilt : 826, real_tilt ; 825, pan : 1082, real_pan : 1057
tilt : 826, real_tilt ; 825, pan : 1098, real_pan : 1073
tilt : 826, real_tilt ; 825, pan : 1114, real_pan : 1089
tilt : 826, real_tilt ; 825, pan : 1130, real_pan : 1105
tilt : 826, real_tilt ; 825, pan : 1146, real_pan : 1120
tilt : 826, real_tilt ; 825, pan : 1162, real_pan : 1137
tilt : 826, real_tilt ; 825, pan : 1178, real_pan : 1153
tilt : 826, real_tilt ; 825, pan : 1194, real_pan : 1169
tilt : 826, real_tilt ; 825, pan : 1210, real_pan : 1184
tilt : 826, real_tilt ; 825, pan : 1226, real_pan : 1201
tilt : 826, real_tilt ; 825, pan : 1242, real_pan : 1217
tilt : 826, real_tilt ; 825, pan : 1258, real_pan : 1232
tilt : 826, real_tilt ; 825, pan : 1274, real_pan : 1248
tilt : 826, real_tilt ; 825, pan : 1290, real_pan : 1265
tilt : 826, real_tilt ; 825, pan : 1306, real_pan : 1281
tilt : 826, real_tilt ; 825, pan : 1322, real_pan : 1296
tilt : 826, real_tilt ; 825, pan : 1338, real_pan : 1312
tilt : 826, real_tilt ; 825, pan : 1354, real_pan : 1329
tilt : 842, real_tilt ; 834, pan : 682, real_pan : 1353
tilt : 842, real_tilt ; 840, pan : 698, real_pan : 1286
tilt : 842, real_tilt ; 841, pan : 714, real_pan : 1152
tilt : 842, real_tilt ; 841, pan : 730, real_pan : 1017
tilt : 842, real_tilt ; 841, pan : 746, real_pan : 886
