tilt : 682, real_tilt ; 679, pan : 682, real_pan : 679
tilt : 714, real_tilt ; 712, pan : 922, real_pan : 921
tilt : 714, real_tilt ; 712, pan : 938, real_pan : 937
tilt : 714, real_tilt ; 712, pan : 954, real_pan : 953
tilt : 714, real_tilt ; 712, pan : 970, real_pan : 969
tilt : 714, real_tilt ; 712, pan : 986, real_pan : 986
tilt : 714, real_tilt ; 712, pan : 1002, real_pan : 1001
tilt : 714, real_tilt ; 712, pan : 1018, real_pan : 1017
tilt : 714, real_tilt ; 712, pan : 1034, real_pan : 1032
tilt : 714, real_tilt ; 712, pan : 1050, real_pan : 1049
tilt : 714, real_tilt ; 712, pan : 1066, real_pan : 1064
tilt : 714, real_tilt ; 712, pan : 1082, real_pan : 1081
tilt : 714, real_tilt ; 712, pan : 1098, real_pan : 1096
tilt : 714, real_tilt ; 712, pan : 1114, real_pan : 1112
tilt : 714, real_tilt ; 712, pan : 1130, real_pan : 1128
tilt : 714, real_tilt ; 712, pan : 1146, real_pan : 1144
tilt : 714, real_tilt ; 712, pan : 1162, real_pan : 1160
tilt : 714, real_tilt ; 712, pan : 1178, real_pan : 1176
tilt : 714, real_tilt ; 712, pan : 1194, real_pan : 1191
tilt : 714, real_tilt ; 712, pan : 1210, real_pan : 1208
tilt : 714, real_tilt ; 712, pan : 1226, real_pan : 1224
tilt : 714, real_tilt ; 712, pan : 1242, real_pan : 1239
tilt : 714, real_tilt ; 712, pan : 1258, real_pan : 1256
tilt : 714, real_tilt ; 712, pan : 1274, real_pan : 1272
tilt : 714, real_tilt ; 712, pan : 1290, real_pan : 1288
tilt : 714, real_tilt ; 712, pan : 1306, real_pan : 1304
tilt : 714, real_tilt ; 712, pan : 1322, real_pan : 1319
tilt : 714, real_tilt ; 712, pan : 1338, real_pan : 1335
tilt : 714, real_tilt ; 712, pan : 1354, real_pan : 1352
tilt : 730, real_tilt ; 728, pan : 682, real_pan : 684
tilt : 730, real_tilt ; 728, pan : 698, real_pan : 697
tilt : 730, real_tilt ; 728, pan : 714, real_pan : 714
tilt : 730, real_tilt ; 728, pan : 730, real_pan : 730
tilt : 730, real_tilt ; 728, pan : 746, real_pan : 746
tilt : 730, real_tilt ; 728, pan : 762, real_pan : 762
tilt : 730, real_tilt ; 728, pan : 778, real_pan : 778
tilt : 730, real_tilt ; 728, pan : 794, real_pan : 794
tilt : 730, real_tilt ; 728, pan : 810, real_pan : 810
tilt : 730, real_tilt ; 728, pan : 826, real_pan : 826
tilt : 730, real_tilt ; 728, pan : 842, real_pan : 841
tilt : 730, real_tilt ; 728, pan : 858, real_pan : 858
tilt : 730, real_tilt ; 728, pan : 874, real_pan : 873
tilt : 730, real_tilt ; 728, pan : 890, real_pan : 889
tilt : 730, real_tilt ; 728, pan : 906, real_pan : 906
tilt : 730, real_tilt ; 728, pan : 922, real_pan : 922
tilt : 730, real_tilt ; 728, pan : 938, real_pan : 937
tilt : 730, real_tilt ; 728, pan : 954, real_pan : 953
tilt : 730, real_tilt ; 728, pan : 970, real_pan : 969
tilt : 730, real_tilt ; 728, pan : 986, real_pan : 985
tilt : 730, real_tilt ; 728, pan : 1002, real_pan : 1001
tilt : 730, real_tilt ; 728, pan : 1018, real_pan : 1017
tilt : 730, real_tilt ; 728, pan : 1034, real_pan : 1033
tilt : 730, real_tilt ; 728, pan : 1050, real_pan : 1049
tilt : 730, real_tilt ; 728, pan : 1066, real_pan : 1064
tilt : 730, real_tilt ; 728, pan : 1082, real_pan : 1081
tilt : 730, real_tilt ; 728, pan : 1098, real_pan : 1096
tilt : 730, real_tilt ; 728, pan : 1114, real_pan : 1112
tilt : 730, real_tilt ; 728, pan : 1130, real_pan : 1128
tilt : 730, real_tilt ; 728, pan : 1146, real_pan : 1144
tilt : 730, real_tilt ; 728, pan : 1162, real_pan : 1160
tilt : 730, real_tilt ; 728, pan : 1178, real_pan : 1176
tilt : 730, real_tilt ; 728, pan : 1194, real_pan : 1192
tilt : 730, real_tilt ; 728, pan : 1210, real_pan : 1208
tilt : 730, real_tilt ; 728, pan : 1226, real_pan : 1224
tilt : 730, real_tilt ; 728, pan : 1242, real_pan : 1239
tilt : 730, real_tilt ; 728, pan : 1258, real_pan : 1256
tilt : 730, real_tilt ; 728, pan : 1274, real_pan : 1272
tilt : 730, real_tilt ; 728, pan : 1290, real_pan : 1288
tilt : 730, real_tilt ; 728, pan : 1306, real_pan : 1304
tilt : 730, real_tilt ; 728, pan : 1322, real_pan : 1320
tilt : 730, real_tilt ; 728, pan : 1338, real_pan : 1336
tilt : 730, real_tilt ; 728, pan : 1354, real_pan : 1351
tilt : 746, real_tilt ; 744, pan : 682, real_pan : 684
tilt : 746, real_tilt ; 744, pan : 698, real_pan : 697
tilt : 746, real_tilt ; 744, pan : 714, real_pan : 714
tilt : 746, real_tilt ; 744, pan : 730, real_pan : 730
tilt : 746, real_tilt ; 744, pan : 746, real_pan : 746
tilt : 746, real_tilt ; 744, pan : 762, real_pan : 762
tilt : 746, real_tilt ; 744, pan : 778, real_pan : 778
tilt : 746, real_tilt ; 744, pan : 794, real_pan : 794
tilt : 746, real_tilt ; 744, pan : 810, real_pan : 811
tilt : 746, real_tilt ; 744, pan : 826, real_pan : 826
tilt : 746, real_tilt ; 744, pan : 842, real_pan : 841
tilt : 746, real_tilt ; 744, pan : 858, real_pan : 858
tilt : 746, real_tilt ; 744, pan : 874, real_pan : 873
tilt : 746, real_tilt ; 744, pan : 890, real_pan : 889
tilt : 746, real_tilt ; 744, pan : 906, real_pan : 905
tilt : 746, real_tilt ; 744, pan : 922, real_pan : 922
tilt : 746, real_tilt ; 744, pan : 938, real_pan : 937
tilt : 746, real_tilt ; 744, pan : 954, real_pan : 953
tilt : 746, real_tilt ; 744, pan : 970, real_pan : 969
tilt : 746, real_tilt ; 744, pan : 986, real_pan : 985
tilt : 746, real_tilt ; 744, pan : 1002, real_pan : 1001
tilt : 746, real_tilt ; 744, pan : 1018, real_pan : 1018
tilt : 746, real_tilt ; 744, pan : 1034, real_pan : 1033
tilt : 746, real_tilt ; 744, pan : 1050, real_pan : 1049
tilt : 746, real_tilt ; 744, pan : 1066, real_pan : 1065
tilt : 746, real_tilt ; 744, pan : 1082, real_pan : 1080
tilt : 746, real_tilt ; 744, pan : 1098, real_pan : 1097
tilt : 746, real_tilt ; 744, pan : 1114, real_pan : 1113
tilt : 746, real_tilt ; 744, pan : 1130, real_pan : 1128
tilt : 746, real_tilt ; 744, pan : 1146, real_pan : 1144
tilt : 746, real_tilt ; 744, pan : 1162, real_pan : 1160
tilt : 746, real_tilt ; 744, pan : 1178, real_pan : 1176
tilt : 746, real_tilt ; 744, pan : 1194, real_pan : 1192
tilt : 746, real_tilt ; 744, pan : 1210, real_pan : 1208
tilt : 746, real_tilt ; 744, pan : 1226, real_pan : 1224
tilt : 746, real_tilt ; 744, pan : 1242, real_pan : 1240
tilt : 746, real_tilt ; 744, pan : 1258, real_pan : 1256
tilt : 746, real_tilt ; 744, pan : 1274, real_pan : 1272
tilt : 746, real_tilt ; 744, pan : 1290, real_pan : 1288
tilt : 746, real_tilt ; 744, pan : 1306, real_pan : 1304
tilt : 746, real_tilt ; 744, pan : 1322, real_pan : 1320
tilt : 746, real_tilt ; 744, pan : 1338, real_pan : 1335
tilt : 746, real_tilt ; 744, pan : 1354, real_pan : 1351
tilt : 762, real_tilt ; 760, pan : 682, real_pan : 684
tilt : 762, real_tilt ; 760, pan : 698, real_pan : 697
tilt : 762, real_tilt ; 760, pan : 714, real_pan : 715
tilt : 762, real_tilt ; 760, pan : 730, real_pan : 730
tilt : 762, real_tilt ; 760, pan : 746, real_pan : 747
tilt : 762, real_tilt ; 760, pan : 762, real_pan : 762
tilt : 762, real_tilt ; 760, pan : 778, real_pan : 778
tilt : 762, real_tilt ; 760, pan : 794, real_pan : 794
tilt : 762, real_tilt ; 760, pan : 810, real_pan : 810
tilt : 762, real_tilt ; 760, pan : 826, real_pan : 826
tilt : 762, real_tilt ; 760, pan : 842, real_pan : 839
tilt : 762, real_tilt ; 760, pan : 858, real_pan : 858
tilt : 762, real_tilt ; 760, pan : 874, real_pan : 873
tilt : 762, real_tilt ; 760, pan : 890, real_pan : 890
tilt : 762, real_tilt ; 760, pan : 906, real_pan : 906
tilt : 762, real_tilt ; 760, pan : 922, real_pan : 922
tilt : 762, real_tilt ; 760, pan : 938, real_pan : 937
tilt : 762, real_tilt ; 760, pan : 954, real_pan : 953
tilt : 762, real_tilt ; 760, pan : 970, real_pan : 969
tilt : 762, real_tilt ; 760, pan : 986, real_pan : 985
tilt : 762, real_tilt ; 760, pan : 1002, real_pan : 1001
tilt : 762, real_tilt ; 760, pan : 1018, real_pan : 1017
tilt : 762, real_tilt ; 760, pan : 1034, real_pan : 1032
tilt : 762, real_tilt ; 760, pan : 1050, real_pan : 1049
tilt : 762, real_tilt ; 760, pan : 1066, real_pan : 1064
tilt : 762, real_tilt ; 760, pan : 1082, real_pan : 1080
tilt : 762, real_tilt ; 760, pan : 1098, real_pan : 1096
tilt : 762, real_tilt ; 760, pan : 1114, real_pan : 1113
tilt : 762, real_tilt ; 760, pan : 1130, real_pan : 1128
tilt : 762, real_tilt ; 760, pan : 1146, real_pan : 1144
tilt : 762, real_tilt ; 760, pan : 1162, real_pan : 1160
tilt : 762, real_tilt ; 760, pan : 1178, real_pan : 1176
tilt : 762, real_tilt ; 760, pan : 1194, real_pan : 1191
tilt : 762, real_tilt ; 760, pan : 1210, real_pan : 1208
tilt : 762, real_tilt ; 760, pan : 1226, real_pan : 1224
tilt : 762, real_tilt ; 760, pan : 1242, real_pan : 1239
tilt : 762, real_tilt ; 760, pan : 1258, real_pan : 1256
tilt : 762, real_tilt ; 760, pan : 1274, real_pan : 1272
tilt : 762, real_tilt ; 760, pan : 1290, real_pan : 1288
tilt : 762, real_tilt ; 760, pan : 1306, real_pan : 1304
tilt : 762, real_tilt ; 760, pan : 1322, real_pan : 1320
tilt : 762, real_tilt ; 760, pan : 1338, real_pan : 1335
tilt : 762, real_tilt ; 760, pan : 1354, real_pan : 1351
tilt : 778, real_tilt ; 776, pan : 682, real_pan : 684
tilt : 778, real_tilt ; 776, pan : 698, real_pan : 697
tilt : 778, real_tilt ; 776, pan : 714, real_pan : 715
tilt : 778, real_tilt ; 776, pan : 730, real_pan : 730
tilt : 778, real_tilt ; 776, pan : 746, real_pan : 747
tilt : 778, real_tilt ; 776, pan : 762, real_pan : 762
tilt : 778, real_tilt ; 776, pan : 778, real_pan : 778
tilt : 778, real_tilt ; 776, pan : 794, real_pan : 794
tilt : 778, real_tilt ; 776, pan : 810, real_pan : 811
tilt : 778, real_tilt ; 776, pan : 826, real_pan : 826
tilt : 778, real_tilt ; 776, pan : 842, real_pan : 842
tilt : 778, real_tilt ; 776, pan : 858, real_pan : 858
tilt : 778, real_tilt ; 776, pan : 874, real_pan : 874
tilt : 778, real_tilt ; 776, pan : 890, real_pan : 889
tilt : 778, real_tilt ; 776, pan : 906, real_pan : 906
tilt : 778, real_tilt ; 776, pan : 922, real_pan : 919
tilt : 778, real_tilt ; 776, pan : 938, real_pan : 937
tilt : 778, real_tilt ; 776, pan : 954, real_pan : 953
tilt : 778, real_tilt ; 776, pan : 970, real_pan : 969
tilt : 778, real_tilt ; 776, pan : 986, real_pan : 985
tilt : 778, real_tilt ; 776, pan : 1002, real_pan : 1001
tilt : 778, real_tilt ; 776, pan : 1018, real_pan : 1017
tilt : 778, real_tilt ; 776, pan : 1034, real_pan : 1033
tilt : 778, real_tilt ; 776, pan : 1050, real_pan : 1049
tilt : 778, real_tilt ; 776, pan : 1066, real_pan : 1065
tilt : 778, real_tilt ; 776, pan : 1082, real_pan : 1081
tilt : 778, real_tilt ; 776, pan : 1098, real_pan : 1097
tilt : 778, real_tilt ; 776, pan : 1114, real_pan : 1112
tilt : 778, real_tilt ; 776, pan : 1130, real_pan : 1128
tilt : 778, real_tilt ; 776, pan : 1146, real_pan : 1144
tilt : 778, real_tilt ; 776, pan : 1162, real_pan : 1160
tilt : 778, real_tilt ; 776, pan : 1178, real_pan : 1176
tilt : 778, real_tilt ; 776, pan : 1194, real_pan : 1192
tilt : 778, real_tilt ; 776, pan : 1210, real_pan : 1208
tilt : 778, real_tilt ; 776, pan : 1226, real_pan : 1224
tilt : 778, real_tilt ; 776, pan : 1242, real_pan : 1240
tilt : 778, real_tilt ; 776, pan : 1258, real_pan : 1256
tilt : 778, real_tilt ; 776, pan : 1274, real_pan : 1272
tilt : 778, real_tilt ; 776, pan : 1290, real_pan : 1288
tilt : 778, real_tilt ; 776, pan : 1306, real_pan : 1304
tilt : 778, real_tilt ; 776, pan : 1322, real_pan : 1320
tilt : 778, real_tilt ; 776, pan : 1338, real_pan : 1335
tilt : 778, real_tilt ; 776, pan : 1354, real_pan : 1352
tilt : 794, real_tilt ; 792, pan : 682, real_pan : 684
tilt : 794, real_tilt ; 792, pan : 698, real_pan : 697
tilt : 794, real_tilt ; 792, pan : 714, real_pan : 714
tilt : 794, real_tilt ; 792, pan : 730, real_pan : 730
tilt : 794, real_tilt ; 792, pan : 746, real_pan : 746
tilt : 794, real_tilt ; 792, pan : 762, real_pan : 762
tilt : 794, real_tilt ; 792, pan : 778, real_pan : 778
tilt : 794, real_tilt ; 792, pan : 794, real_pan : 794
tilt : 794, real_tilt ; 792, pan : 810, real_pan : 810
tilt : 794, real_tilt ; 792, pan : 826, real_pan : 826
tilt : 794, real_tilt ; 792, pan : 842, real_pan : 842
tilt : 794, real_tilt ; 792, pan : 858, real_pan : 858
tilt : 794, real_tilt ; 792, pan : 874, real_pan : 873
tilt : 794, real_tilt ; 792, pan : 890, real_pan : 887
tilt : 794, real_tilt ; 792, pan : 906, real_pan : 905
tilt : 794, real_tilt ; 792, pan : 922, real_pan : 922
tilt : 794, real_tilt ; 792, pan : 938, real_pan : 937
tilt : 794, real_tilt ; 792, pan : 954, real_pan : 953
tilt : 794, real_tilt ; 792, pan : 970, real_pan : 969
tilt : 794, real_tilt ; 792, pan : 986, real_pan : 985
tilt : 794, real_tilt ; 792, pan : 1002, real_pan : 1002
tilt : 794, real_tilt ; 792, pan : 1018, real_pan : 1017
tilt : 794, real_tilt ; 792, pan : 1034, real_pan : 1033
tilt : 794, real_tilt ; 792, pan : 1050, real_pan : 1049
tilt : 794, real_tilt ; 792, pan : 1066, real_pan : 1065
tilt : 794, real_tilt ; 792, pan : 1082, real_pan : 1082
tilt : 794, real_tilt ; 792, pan : 1098, real_pan : 1098
tilt : 794, real_tilt ; 792, pan : 1114, real_pan : 1113
tilt : 794, real_tilt ; 792, pan : 1130, real_pan : 1128
tilt : 794, real_tilt ; 792, pan : 1146, real_pan : 1144
tilt : 794, real_tilt ; 792, pan : 1162, real_pan : 1160
tilt : 794, real_tilt ; 792, pan : 1178, real_pan : 1176
tilt : 794, real_tilt ; 792, pan : 1194, real_pan : 1191
tilt : 794, real_tilt ; 792, pan : 1210, real_pan : 1208
tilt : 794, real_tilt ; 792, pan : 1226, real_pan : 1224
tilt : 794, real_tilt ; 792, pan : 1242, real_pan : 1240
tilt : 794, real_tilt ; 792, pan : 1258, real_pan : 1256
tilt : 794, real_tilt ; 792, pan : 1274, real_pan : 1272
tilt : 794, real_tilt ; 792, pan : 1290, real_pan : 1288
tilt : 794, real_tilt ; 792, pan : 1306, real_pan : 1304
tilt : 794, real_tilt ; 792, pan : 1322, real_pan : 1319
tilt : 794, real_tilt ; 792, pan : 1338, real_pan : 1335
tilt : 794, real_tilt ; 792, pan : 1354, real_pan : 1351
tilt : 810, real_tilt ; 807, pan : 682, real_pan : 684
tilt : 810, real_tilt ; 807, pan : 698, real_pan : 696
tilt : 810, real_tilt ; 807, pan : 714, real_pan : 714
tilt : 810, real_tilt ; 807, pan : 730, real_pan : 730
tilt : 810, real_tilt ; 807, pan : 746, real_pan : 746
tilt : 810, real_tilt ; 807, pan : 762, real_pan : 762
tilt : 810, real_tilt ; 807, pan : 778, real_pan : 778
tilt : 810, real_tilt ; 807, pan : 794, real_pan : 794
tilt : 810, real_tilt ; 807, pan : 810, real_pan : 810
tilt : 810, real_tilt ; 807, pan : 826, real_pan : 825
tilt : 810, real_tilt ; 807, pan : 842, real_pan : 842
tilt : 810, real_tilt ; 807, pan : 858, real_pan : 858
tilt : 810, real_tilt ; 807, pan : 874, real_pan : 873
tilt : 810, real_tilt ; 807, pan : 890, real_pan : 889
tilt : 810, real_tilt ; 807, pan : 906, real_pan : 906
tilt : 810, real_tilt ; 807, pan : 922, real_pan : 919
tilt : 810, real_tilt ; 807, pan : 938, real_pan : 937
tilt : 810, real_tilt ; 807, pan : 954, real_pan : 953
tilt : 810, real_tilt ; 807, pan : 970, real_pan : 969
tilt : 810, real_tilt ; 807, pan : 986, real_pan : 986
tilt : 810, real_tilt ; 807, pan : 1002, real_pan : 1001
tilt : 810, real_tilt ; 807, pan : 1018, real_pan : 1018
tilt : 810, real_tilt ; 807, pan : 1034, real_pan : 1034
tilt : 810, real_tilt ; 807, pan : 1050, real_pan : 1049
tilt : 810, real_tilt ; 807, pan : 1066, real_pan : 1065
tilt : 810, real_tilt ; 807, pan : 1082, real_pan : 1081
tilt : 810, real_tilt ; 807, pan : 1098, real_pan : 1097
tilt : 810, real_tilt ; 807, pan : 1114, real_pan : 1112
tilt : 810, real_tilt ; 807, pan : 1130, real_pan : 1128
tilt : 810, real_tilt ; 807, pan : 1146, real_pan : 1144
tilt : 810, real_tilt ; 807, pan : 1162, real_pan : 1160
tilt : 810, real_tilt ; 807, pan : 1178, real_pan : 1176
tilt : 810, real_tilt ; 807, pan : 1194, real_pan : 1192
tilt : 810, real_tilt ; 807, pan : 1210, real_pan : 1208
tilt : 810, real_tilt ; 807, pan : 1226, real_pan : 1224
tilt : 810, real_tilt ; 807, pan : 1242, real_pan : 1239
tilt : 810, real_tilt ; 807, pan : 1258, real_pan : 1256
tilt : 810, real_tilt ; 807, pan : 1274, real_pan : 1272
tilt : 810, real_tilt ; 807, pan : 1290, real_pan : 1288
tilt : 810, real_tilt ; 807, pan : 1306, real_pan : 1303
tilt : 810, real_tilt ; 807, pan : 1322, real_pan : 1319
tilt : 810, real_tilt ; 807, pan : 1338, real_pan : 1336
tilt : 810, real_tilt ; 807, pan : 1354, real_pan : 1351
tilt : 826, real_tilt ; 824, pan : 682, real_pan : 684
tilt : 826, real_tilt ; 824, pan : 698, real_pan : 697
tilt : 826, real_tilt ; 824, pan : 714, real_pan : 714
tilt : 826, real_tilt ; 824, pan : 730, real_pan : 730
tilt : 826, real_tilt ; 824, pan : 746, real_pan : 746
tilt : 826, real_tilt ; 824, pan : 762, real_pan : 762
tilt : 826, real_tilt ; 824, pan : 778, real_pan : 778
tilt : 826, real_tilt ; 824, pan : 794, real_pan : 794
tilt : 826, real_tilt ; 824, pan : 810, real_pan : 811
tilt : 826, real_tilt ; 824, pan : 826, real_pan : 826
tilt : 826, real_tilt ; 824, pan : 842, real_pan : 842
tilt : 826, real_tilt ; 824, pan : 858, real_pan : 858
tilt : 826, real_tilt ; 824, pan : 874, real_pan : 873
tilt : 826, real_tilt ; 824, pan : 890, real_pan : 889
tilt : 826, real_tilt ; 824, pan : 906, real_pan : 906
tilt : 826, real_tilt ; 824, pan : 922, real_pan : 919
tilt : 826, real_tilt ; 824, pan : 938, real_pan : 937
tilt : 826, real_tilt ; 824, pan : 954, real_pan : 953
tilt : 826, real_tilt ; 824, pan : 970, real_pan : 969
tilt : 826, real_tilt ; 824, pan : 986, real_pan : 985
tilt : 826, real_tilt ; 824, pan : 1002, real_pan : 1002
tilt : 826, real_tilt ; 824, pan : 1018, real_pan : 1018
tilt : 826, real_tilt ; 824, pan : 1034, real_pan : 1033
tilt : 826, real_tilt ; 824, pan : 1050, real_pan : 1049
tilt : 826, real_tilt ; 824, pan : 1066, real_pan : 1065
tilt : 826, real_tilt ; 824, pan : 1082, real_pan : 1081
tilt : 826, real_tilt ; 824, pan : 1098, real_pan : 1096
tilt : 826, real_tilt ; 824, pan : 1114, real_pan : 1113
tilt : 826, real_tilt ; 824, pan : 1130, real_pan : 1128
tilt : 826, real_tilt ; 824, pan : 1146, real_pan : 1144
tilt : 826, real_tilt ; 824, pan : 1162, real_pan : 1160
tilt : 826, real_tilt ; 824, pan : 1178, real_pan : 1176
tilt : 826, real_tilt ; 824, pan : 1194, real_pan : 1191
tilt : 826, real_tilt ; 824, pan : 1210, real_pan : 1208
tilt : 826, real_tilt ; 824, pan : 1226, real_pan : 1224
tilt : 826, real_tilt ; 824, pan : 1242, real_pan : 1240
tilt : 826, real_tilt ; 824, pan : 1258, real_pan : 1256
tilt : 826, real_tilt ; 824, pan : 1274, real_pan : 1272
tilt : 826, real_tilt ; 824, pan : 1290, real_pan : 1288
tilt : 826, real_tilt ; 824, pan : 1306, real_pan : 1304
tilt : 826, real_tilt ; 824, pan : 1322, real_pan : 1319
tilt : 826, real_tilt ; 824, pan : 1338, real_pan : 1336
tilt : 826, real_tilt ; 824, pan : 1354, real_pan : 1351
tilt : 842, real_tilt ; 839, pan : 682, real_pan : 684
tilt : 842, real_tilt ; 839, pan : 698, real_pan : 697
tilt : 842, real_tilt ; 839, pan : 714, real_pan : 714
tilt : 842, real_tilt ; 839, pan : 730, real_pan : 730
tilt : 842, real_tilt ; 839, pan : 746, real_pan : 743
